rank,scaler,class_weight,c_value,threshold,accuracy,precision_archeologique,recall_archeologique,f1_archeologique,fold_f1_mean,fold_f1_std,false_negatives,false_positives,true_positives,true_negatives
298,robust,balanced,10.0,0.35,0.7636986301369864,0.7078651685393258,0.5943396226415094,0.6461538461538462,0.6230555113163809,0.23153098099911748,43,26,63,160
299,standard,none,0.1,0.7,0.7671232876712328,0.7209302325581395,0.5849056603773585,0.6458333333333334,0.6005184575772813,0.2953132430672877,44,24,62,162
300,robust,balanced,1.0,0.5,0.7671232876712328,0.7209302325581395,0.5849056603773585,0.6458333333333334,0.6149538090970316,0.265824537292759,44,24,62,162
301,robust,balanced,1.0,0.55,0.7671232876712328,0.7209302325581395,0.5849056603773585,0.6458333333333334,0.6149538090970316,0.265824537292759,44,24,62,162
302,robust,balanced,3.0,0.5,0.7671232876712328,0.7209302325581395,0.5849056603773585,0.6458333333333334,0.6149538090970316,0.265824537292759,44,24,62,162
303,robust,balanced,3.0,0.55,0.7671232876712328,0.7209302325581395,0.5849056603773585,0.6458333333333334,0.6149538090970316,0.265824537292759,44,24,62,162
304,robust,balanced,10.0,0.5,0.7671232876712328,0.7209302325581395,0.5849056603773585,0.6458333333333334,0.6149538090970316,0.265824537292759,44,24,62,162
305,robust,none,0.3,0.45,0.7671232876712328,0.7209302325581395,0.5849056603773585,0.6458333333333334,0.6165599324422854,0.2697381625679938,44,24,62,162
306,robust,none,1.0,0.45,0.7671232876712328,0.7209302325581395,0.5849056603773585,0.6458333333333334,0.6149538090970316,0.265824537292759,44,24,62,162
307,robust,none,3.0,0.45,0.7671232876712328,0.7209302325581395,0.5849056603773585,0.6458333333333334,0.6149538090970316,0.265824537292759,44,24,62,162
308,robust,none,10.0,0.45,0.7671232876712328,0.7209302325581395,0.5849056603773585,0.6458333333333334,0.6149538090970316,0.265824537292759,44,24,62,162
309,robust,none,0.03,0.5,0.7705479452054794,0.7349397590361446,0.5754716981132075,0.6455026455026455,0.6180806339629867,0.26468372308755483,45,22,61,164
310,standard,none,0.03,0.65,0.773972602739726,0.75,0.5660377358490566,0.6451612903225806,0.5821286774227951,0.32938541927687554,46,20,60,166
311,standard,none,0.03,0.7,0.7773972602739726,0.7662337662337663,0.5566037735849056,0.644808743169399,0.5802332525861938,0.3306100601769563,47,18,59,168
312,robust,none,0.01,0.55,0.7876712328767124,0.8235294117647058,0.5283018867924528,0.6436781609195402,0.5856126982752372,0.3051194119408297,50,12,56,174
313,standard,balanced,0.3,0.7,0.7602739726027398,0.7,0.5943396226415094,0.6428571428571429,0.6091402244774166,0.28467363981278115,43,27,63,159
314,standard,none,0.1,0.65,0.7602739726027398,0.7,0.5943396226415094,0.6428571428571429,0.5984959667743354,0.29341736628877363,43,27,63,159
315,standard,none,0.3,0.7,0.7602739726027398,0.7,0.5943396226415094,0.6428571428571429,0.6091402244774166,0.28467363981278115,43,27,63,159
316,standard,balanced,0.1,0.7,0.7636986301369864,0.7126436781609196,0.5849056603773585,0.6424870466321243,0.5989374299092971,0.29566707924096486,44,25,62,161
317,robust,balanced,3.0,0.45,0.7636986301369864,0.7126436781609196,0.5849056603773585,0.6424870466321243,0.6119037001645697,0.26366754125665,44,25,62,161
318,robust,balanced,10.0,0.4,0.7636986301369864,0.7126436781609196,0.5849056603773585,0.6424870466321243,0.6119037001645697,0.26366754125665,44,25,62,161
319,robust,balanced,10.0,0.45,0.7636986301369864,0.7126436781609196,0.5849056603773585,0.6424870466321243,0.6119037001645697,0.26366754125665,44,25,62,161
320,robust,none,3.0,0.4,0.7636986301369864,0.7126436781609196,0.5849056603773585,0.6424870466321243,0.6119037001645697,0.26366754125665,44,25,62,161
321,robust,none,10.0,0.35,0.7636986301369864,0.7126436781609196,0.5849056603773585,0.6424870466321243,0.6119037001645697,0.26366754125665,44,25,62,161
322,robust,none,10.0,0.4,0.7636986301369864,0.7126436781609196,0.5849056603773585,0.6424870466321243,0.6119037001645697,0.26366754125665,44,25,62,161
323,standard,balanced,0.03,0.7,0.773972602739726,0.7564102564102564,0.5566037735849056,0.6413043478260869,0.5802332525861938,0.3306100601769563,47,19,59,167
324,robust,balanced,0.3,0.55,0.7636986301369864,0.7176470588235294,0.5754716981132075,0.6387434554973822,0.610210726093079,0.26960484834867826,45,24,61,162
325,robust,balanced,10.0,0.55,0.7636986301369864,0.7176470588235294,0.5754716981132075,0.6387434554973822,0.5990807932240158,0.2749032103565837,45,24,61,162
326,robust,none,0.3,0.5,0.7636986301369864,0.7176470588235294,0.5754716981132075,0.6387434554973822,0.610210726093079,0.26960484834867826,45,24,61,162
327,robust,none,1.0,0.5,0.7636986301369864,0.7176470588235294,0.5754716981132075,0.6387434554973822,0.610210726093079,0.26960484834867826,45,24,61,162
328,robust,none,3.0,0.5,0.7636986301369864,0.7176470588235294,0.5754716981132075,0.6387434554973822,0.5990807932240158,0.2749032103565837,45,24,61,162
329,robust,none,10.0,0.5,0.7636986301369864,0.7176470588235294,0.5754716981132075,0.6387434554973822,0.5990807932240158,0.2749032103565837,45,24,61,162
330,standard,balanced,0.01,0.7,0.773972602739726,0.7631578947368421,0.5471698113207547,0.6373626373626373,0.574345806698748,0.3365195606758424,48,18,58,168
331,normalizer,balanced,0.3,0.5,0.7191780821917808,0.6,0.6792452830188679,0.6371681415929203,0.582753382725519,0.2652295673938538,34,48,72,138
332,robust,none,0.03,0.55,0.7773972602739726,0.7808219178082192,0.5377358490566038,0.6368715083798883,0.5992947792947793,0.28526829053996766,49,16,57,170
333,standard,none,0.01,0.7,0.7808219178082192,0.8,0.5283018867924528,0.6363636363636364,0.5709251635877024,0.33692439343173153,50,14,56,172
334,robust,balanced,0.3,0.6,0.7671232876712328,0.7375,0.5566037735849056,0.6344086021505376,0.6028734228734228,0.28894487222483894,47,21,59,165
335,robust,none,0.1,0.55,0.7705479452054794,0.7532467532467533,0.5471698113207547,0.6338797814207651,0.6000762200762201,0.2875204506200177,48,19,58,167
336,robust,balanced,3.0,0.6,0.7636986301369864,0.7283950617283951,0.5566037735849056,0.6310160427807486,0.5885732785732786,0.291715881945152,47,22,59,164
337,robust,balanced,10.0,0.6,0.7636986301369864,0.7283950617283951,0.5566037735849056,0.6310160427807486,0.5885732785732786,0.291715881945152,47,22,59,164
